"","freq","word1","word2","word3","word4","word5"
"120",2,"a","bridge","while","jogging","britten"
"121",3,"a","brief","period","of","time"
"122",2,"a","brief","run","down","of"
"123",2,"a","bronze","medal","at","the"
"124",2,"a","budget","of","about","million"
"125",2,"a","built","in","car","alarm"
"126",2,"a","bulging","disk","in","his"
"127",4,"a","bunch","of","people","who"
"128",2,"a","bunch","of","unk","and"
"129",2,"a","bunch","of","us","were"
"130",2,"a","burglary","was","reported","at"
"131",2,"a","busch","memorial","conservation","area"
"132",2,"a","business","was","broken","into"
"133",2,"a","businessman","i'm","a","business"
"134",2,"a","button","for","your","blog"
"135",2,"a","california","ale","yeast","strain"
"136",2,"a","california","based","anti","abortion"
"137",2,"a","call","at","or","email"
"138",2,"a","call","from","one","of"
"139",2,"a","call","if","you're","up"
"140",2,"a","call","if","you","want"
"141",2,"a","camp","in","flagstaff","ahead"
"142",2,"a","canvas","to","the","imagination"
"143",2,"a","car","lets","you","cross"
"144",2,"a","card","i","made","for"
"145",3,"a","care","in","the","world"
"146",2,"a","career","year","and","he's"
"147",2,"a","careless","man's","careful","daughter"
"148",2,"a","case","by","case","basis"
"149",4,"a","case","in","which","he"
"150",2,"a","case","in","which","she"
"151",7,"a","case","of","the","mondays"
"152",2,"a","cast","of","thousands","and"
"153",2,"a","century","and","a","quarter"
"154",2,"a","certain","kind","of","sadness"
"155",2,"a","certain","lawsuit","if","it"
"156",2,"a","certain","place","on","the"
"157",3,"a","certified","public","accountant","and"
"158",2,"a","chance","for","a","new"
"159",2,"a","chance","in","the","kentucky"
"160",3,"a","chance","of","showers","and"
"161",2,"a","chance","of","winning","the"
"162",2,"a","chance","to","be","a"
"163",4,"a","chance","to","catch","up"
"164",2,"a","chance","to","catch","you"
"165",3,"a","chance","to","check","out"
"166",2,"a","chance","to","come","back"
"167",2,"a","chance","to","do","that"
"168",2,"a","chance","to","do","the"
"169",2,"a","chance","to","end","the"
"170",2,"a","chance","to","give","back"
"171",2,"a","chance","to","go","out"
"172",2,"a","chance","to","go","to"
"173",2,"a","chance","to","have","a"
"174",2,"a","chance","to","listen","to"
"175",3,"a","chance","to","make","a"
"176",2,"a","chance","to","make","the"
"177",2,"a","chance","to","meet","him"
"178",2,"a","chance","to","play","along"
"179",2,"a","chance","to","read","my"
"180",2,"a","chance","to","read","the"
"181",2,"a","chance","to","reflect","on"
"182",2,"a","chance","to","see","the"
"183",2,"a","chance","to","talk","about"
"184",2,"a","chance","to","watch","it"
"185",3,"a","chance","to","watch","the"
"186",2,"a","chance","to","watch","unk"
"187",17,"a","chance","to","win","a"
"188",2,"a","chance","to","win","free"
"189",3,"a","chance","to","win","it"
"190",2,"a","chance","to","win","one"
"191",2,"a","chance","to","win","that"
"192",2,"a","chance","to","win","the"
"193",2,"a","chance","to","win","unk"
"194",3,"a","change","in","the","law"
"195",2,"a","change","in","the","weather"
"196",2,"a","change","of","scene","and"
"197",2,"a","chester","township","farmer","who"
"198",2,"a","child","of","five","groucho"
"199",2,"a","china","trade","hub","in"
"200",2,"a","chip","on","my","shoulder"
"201",2,"a","choice","between","mitt","romney"
"202",2,"a","choice","but","falling","in"
"203",2,"a","church","parking","lot","and"
"204",2,"a","cigar","is","just","a"
"205",2,"a","city","college","of","san"
"206",2,"a","city","on","the","brink"
"207",3,"a","class","for","overcoming","ocd"
"208",2,"a","class","lesson","activity","or"
"209",2,"a","classic","and","i","love"
"210",2,"a","clean","bill","of","health"
"211",2,"a","clean","studio","is","a"
"212",2,"a","clear","and","present","danger"
"213",2,"a","clear","conscience","is","usually"
"214",2,"a","clear","picture","of","what"
"215",2,"a","close","look","at","the"
"216",4,"a","close","up","of","the"
"217",2,"a","cloud","in","the","sky"
"218",3,"a","co","sponsor","of","the"
"219",2,"a","coat","of","unk","water"
"220",2,"a","code","of","conduct","for"
"221",3,"a","cold","or","the","flu"
"222",3,"a","combination","of","the","two"
"223",2,"a","coming","of","age","story"
"224",2,"a","commanding","lead","in","the"
"225",2,"a","comment","along","the","lines"
"226",2,"a","comment","and","let","us"
"227",2,"a","comment","in","the","comment"
"228",2,"a","comment","on","our","facebook"
"229",2,"a","comment","on","the","post"
"230",5,"a","comment","on","this","post"
"231",2,"a","comment","or","email","me"
"232",2,"a","comment","to","this","post"
"233",2,"a","common","sense","approach","to"
"234",2,"a","common","side","effect","of"
"235",2,"a","community","on","named","unk"
"236",2,"a","companion","in","this","story"
"237",2,"a","compelling","case","that","despite"
"238",2,"a","competition","on","how","to"
"239",2,"a","complete","list","of","acceptable"
"240",2,"a","comprehensive","survey","of","the"
"241",5,"a","computer","once","beat","me"
"242",10,"a","concert","and","meet","ngreet"
"243",2,"a","condition","known","as","unk"
"244",4,"a","conference","call","with","analysts"
"245",4,"a","conference","call","with","reporters"
"246",2,"a","conference","call","with","the"
"247",2,"a","conflict","of","interest","with"
"248",2,"a","constitutional","amendment","banning","gay"
"249",2,"a","constitutional","ban","on","gay"
"250",2,"a","contract","that","pays","him"
"251",2,"a","contract","with","the","city"
"252",2,"a","controlled","dangerous","substance","on"
"253",2,"a","controlled","substance","at","p"
"254",2,"a","controversial","bill","that","recently"
"255",2,"a","controversial","gold","copper","mining"
"256",2,"a","convenience","fee","of","per"
"257",2,"a","convenience","store","when","zimmerman"
"258",2,"a","convention","center","beneath","the"
"259",2,"a","conversation","with","someone","i"
"260",2,"a","conversation","with","someone","who"
"261",2,"a","cookbook","it's","a","cookbook"
"262",2,"a","copy","of","the","book"
"263",2,"a","copy","of","the","letter"
"264",2,"a","copy","of","the","unk"
"265",5,"a","copy","of","your","book"
"266",2,"a","corner","and","no","one"
"267",2,"a","cost","of","more","than"
"268",2,"a","couple","days","ago","i"
"269",2,"a","couple","of","bottles","of"
"270",2,"a","couple","of","days","a"
"271",3,"a","couple","of","days","after"
"272",8,"a","couple","of","days","ago"
"273",3,"a","couple","of","days","and"
"274",3,"a","couple","of","days","in"
"275",5,"a","couple","of","days","later"
"276",2,"a","couple","of","days","off"
"277",2,"a","couple","of","decades","now"
"278",4,"a","couple","of","hours","before"
"279",2,"a","couple","of","hours","in"
"280",2,"a","couple","of","hours","later"
"281",2,"a","couple","of","hours","of"
"282",2,"a","couple","of","hours","with"
"283",3,"a","couple","of","months","and"
"284",2,"a","couple","of","months","before"
"285",2,"a","couple","of","months","but"
"286",3,"a","couple","of","months","i"
"287",2,"a","couple","of","months","later"
"288",2,"a","couple","of","months","now"
"289",2,"a","couple","of","my","friends"
"290",2,"a","couple","of","other","things"
"291",2,"a","couple","of","people","ask"
"292",2,"a","couple","of","projects","in"
"293",3,"a","couple","of","tablespoons","of"
"294",2,"a","couple","of","the","characters"
"295",2,"a","couple","of","the","other"
"296",3,"a","couple","of","things","i"
"297",2,"a","couple","of","things","that"
"298",3,"a","couple","of","times","a"
"299",3,"a","couple","of","times","and"
"300",2,"a","couple","of","times","i"
"301",2,"a","couple","of","weekends","ago"
"302",2,"a","couple","of","weeks","after"
"303",34,"a","couple","of","weeks","ago"
"304",4,"a","couple","of","weeks","and"
"305",4,"a","couple","of","weeks","before"
"306",3,"a","couple","of","weeks","later"
"307",2,"a","couple","of","weeks","we"
"308",2,"a","couple","of","weeks","with"
"309",2,"a","couple","of","weeks","would"
"310",28,"a","couple","of","years","ago"
"311",3,"a","couple","of","years","and"
"312",2,"a","couple","of","years","for"
"313",2,"a","couple","of","years","later"
"314",2,"a","couple","of","years","old"
"315",2,"a","couple","of","years","to"
"316",2,"a","couple","tablespoons","of","the"
"317",2,"a","couple","times","it","was"
"318",4,"a","couple","weeks","ago","and"
"319",3,"a","couple","years","ago","and"
"320",3,"a","coupon","for","a","free"
"321",2,"a","court","order","to","unk"
"322",3,"a","cover","like","old","times"
"323",2,"a","cramp","in","his","left"
"324",2,"a","credit","or","debit","card"
"325",2,"a","critical","eye","over","the"
"326",2,"a","critical","juncture","new","reports"
"327",2,"a","critical","part","of","our"
"328",2,"a","crowd","of","more","than"
"329",2,"a","crowded","tight","end","position"
"330",5,"a","cup","of","coffee","and"
"331",3,"a","cup","of","coffee","in"
"332",2,"a","cup","of","comfort","for"
"333",2,"a","cup","of","tea","but"
"334",2,"a","cup","of","tea","or"
"335",2,"a","cut","of","the","money"
"336",2,"a","cuyahoga","county","commissioner","in"
"337",2,"a","damn","tuesday","nobody","does"
"338",4,"a","dance","with","life","a"
"339",2,"a","danger","in","reading","too"
"340",2,"a","dark","day","for","freedom"
"341",2,"a","darling","of","the","national"
"342",2,"a","date","yet","to","be"
"343",2,"a","day","ahead","of","the"
"344",4,"a","day","and","a","half"
"345",2,"a","day","at","a","time"
"346",2,"a","day","at","the","beach"
"347",2,"a","day","for","the","last"
"348",2,"a","day","goes","by","without"
"349",3,"a","day","in","her","life"
"350",2,"a","day","in","the","gym"
"351",6,"a","day","in","the","life"
"352",2,"a","day","in","which","the"
"353",2,"a","day","late","and","a"
"354",2,"a","day","of","shame","for"
"355",2,"a","day","or","two","and"
"356",3,"a","day","or","two","before"
"357",2,"a","day","or","two","i"
"358",2,"a","day","or","two","this"
"359",2,"a","day","or","two","to"
"360",3,"a","day","seven","days","a"
"361",2,"a","day","that","will","live"
"362",6,"a","day","to","day","basis"
"363",2,"a","day","you","may","eventually"
"364",2,"a","deaf","ear","to","the"
"365",2,"a","deal","valued","at","million"
"366",2,"a","debt","of","gratitude","to"
"367",2,"a","decade","ago","when","he"
"368",2,"a","decade","ago","with","the"
"369",2,"a","decade","or","more","after"
"370",2,"a","decent","pair","of","binoculars"
"371",2,"a","decent","source","of","income"
"372",3,"a","decision","has","been","made"
"373",2,"a","decision","making","process","that"
"374",2,"a","decision","on","whether","to"
"375",3,"a","delaware","limited","liability","company"
"376",2,"a","delicate","diplomatic","crisis","for"
"377",2,"a","delicate","unassuming","show","but"
"378",2,"a","description","of","your","look"
"379",2,"a","desire","to","see","the"
"380",3,"a","desire","to","spend","more"
"381",2,"a","detailed","description","of","the"
"382",3,"a","diamond","and","picking","up"
"383",2,"a","diet","high","in","fiber"
"384",2,"a","difference","between","giving","up"
"385",2,"a","difference","in","the","life"
"386",3,"a","difference","in","the","lives"
"387",2,"a","different","and","more","significant"
"388",2,"a","different","direction","with","the"
"389",2,"a","different","perspective","on","what"
"390",5,"a","direct","link","to","your"
"391",4,"a","direct","result","of","the"
"392",2,"a","dirty","job","but","someone"
"393",2,"a","discount","on","all","items"
"394",2,"a","discouraging","day","for","prosecutors"
"395",2,"a","discrimination","complaint","with","the"
"396",2,"a","discussion","or","advance","an"
"397",2,"a","distant","cousin","of","mine"
"398",2,"a","divide","and","conquer","strategy"
"399",2,"a","dm","with","your","email"
"400",2,"a","do","not","track","option"
"401",2,"a","dollar","for","every","time"
"402",2,"a","dollar","on","general","principles"
"403",3,"a","donation","to","the","charity"
"404",2,"a","donation","will","pay","for"
"405",2,"a","double","edged","sword","unk"
"406",2,"a","double","in","the","eighth"
"407",2,"a","dozen","others","have","been"
"408",2,"a","draft","not","a","finished"
"409",4,"a","dramatic","increase","in","the"
"410",2,"a","dream","come","true","said"
"411",5,"a","dream","last","night","that"
"412",2,"a","dream","of","mine","to"
"413",3,"a","dream","that","i","was"
"414",2,"a","dream","that","never","will"
"415",2,"a","drink","or","two","but"
"416",2,"a","drive","to","left","center"
"417",2,"a","driver","and","reckless","driving"
"418",2,"a","driver","involved","in","a"
"419",3,"a","drug","other","than","marijuana"
"420",2,"a","drunken","driving","crash","that"
"421",2,"a","dues","paying","member","of"
"422",2,"a","duty","of","care","to"
"423",2,"a","earned","run","average","and"
"424",2,"a","era","in","appearances","for"
"425",2,"a","era","in","five","starts"
"426",2,"a","face","to","face","conversation"
"427",2,"a","facebook","account","and","the"
"428",2,"a","faceoff","in","nashville's","zone"
"429",2,"a","fact","that","i","am"
"430",2,"a","failure","is","a","man"
"431",2,"a","failure","of","a","shower"
"432",2,"a","failure","to","appear","warrant"
"433",2,"a","fair","amount","of","time"
"434",2,"a","fair","number","of","the"
"435",2,"a","fairer","match","todd","unk"
"436",2,"a","family","of","her","own"
"437",2,"a","family","of","unk","in"
"438",2,"a","family","out","of","poverty"
"439",3,"a","far","cry","from","the"
"440",2,"a","fart","if","you","have"
"441",2,"a","fat","kid","loves","cake"
"442",3,"a","fat","lady","with","a"
"443",2,"a","fatal","turkey","hunting","accident"
"444",3,"a","father","but","it","takes"
"445",2,"a","father","can","do","for"
"446",2,"a","fave","follow","read","the"
"447",2,"a","favorable","opinion","of","the"
"448",2,"a","favorite","of","mine","when"
"449",2,"a","federal","appeals","court","has"
"450",2,"a","federal","judge","has","ruled"
"451",2,"a","federal","judge","ordered","the"
"452",2,"a","fee","of","per","traveling"
"453",2,"a","feeling","i'm","going","to"
"454",2,"a","feeling","it's","gonna","be"
"455",2,"a","feeling","that","there","was"
"456",2,"a","feminist","picnic","when","they"
"457",2,"a","few","blocks","away","from"
"458",4,"a","few","blocks","from","the"
"459",3,"a","few","days","a","week"
"460",2,"a","few","days","after","being"
"461",2,"a","few","days","after","my"
"462",2,"a","few","days","after","she"
"463",2,"a","few","days","ago","and"
"464",6,"a","few","days","ago","i"
"465",2,"a","few","days","ago","that"
"466",3,"a","few","days","and","i"
"467",2,"a","few","days","and","then"
"468",2,"a","few","days","before","i"
"469",2,"a","few","days","before","the"
"470",2,"a","few","days","in","unk"
"471",2,"a","few","days","into","the"
"472",3,"a","few","days","later","i"
"473",2,"a","few","days","left","to"
"474",2,"a","few","days","to","a"
"475",3,"a","few","days","to","get"
"476",2,"a","few","hours","but","then"
"477",2,"a","few","hours","each","day"
"478",2,"a","few","hours","later","i"
"479",2,"a","few","hours","left","to"
"480",2,"a","few","hours","of","sleep"
"481",3,"a","few","hours","on","the"
"482",2,"a","few","laps","though","the"
"483",2,"a","few","miles","from","the"
"484",2,"a","few","minutes","add","the"
"485",3,"a","few","minutes","before","she"
"486",2,"a","few","minutes","before","the"
"487",2,"a","few","minutes","later","and"
"488",2,"a","few","minutes","later","i"
"489",2,"a","few","minutes","later","the"
"490",2,"a","few","minutes","to","read"
"491",2,"a","few","minutes","to","watch"
"492",4,"a","few","months","ago","but"
"493",2,"a","few","months","ago","i"
"494",2,"a","few","months","ago","in"
"495",2,"a","few","months","ago","the"
"496",2,"a","few","months","ago","we"
"497",4,"a","few","months","ago","when"
"498",2,"a","few","months","back","i"
"499",2,"a","few","months","before","you"
"500",3,"a","few","months","later","i"
"501",3,"a","few","months","now","and"
"502",2,"a","few","months","short","of"
"503",2,"a","few","more","days","to"
"504",2,"a","few","more","days","until"
"505",2,"a","few","more","seconds","and"
"506",2,"a","few","more","years","to"
"507",4,"a","few","of","my","favorite"
"508",2,"a","few","of","my","favorites"
"509",2,"a","few","of","my","friends"
"510",2,"a","few","of","the","things"
"511",2,"a","few","questions","about","the"
"512",2,"a","few","short","years","ago"
"513",2,"a","few","simple","changes","to"
"514",3,"a","few","steps","from","the"
"515",2,"a","few","suggestions","to","show"
"516",2,"a","few","tablespoons","of","water"
"517",2,"a","few","things","about","me"
"518",3,"a","few","things","about","the"
"519",2,"a","few","things","from","my"
"520",2,"a","few","things","going","on"
"521",2,"a","few","things","i've","been"
"522",2,"a","few","things","i","do"
"523",2,"a","few","times","a","week"
"524",2,"a","few","times","a","year"
"525",2,"a","few","times","already","and"
"526",2,"a","few","times","and","we"
"527",2,"a","few","times","but","for"
"528",2,"a","few","times","during","the"
"529",2,"a","few","times","on","this"
"530",3,"a","few","too","many","times"
"531",2,"a","few","weeks","after","the"
"532",2,"a","few","weeks","ago","a"
"533",2,"a","few","weeks","ago","after"
"534",11,"a","few","weeks","ago","and"
"535",2,"a","few","weeks","ago","for"
"536",12,"a","few","weeks","ago","i"
"537",2,"a","few","weeks","ago","that"
"538",2,"a","few","weeks","ago","there"
"539",2,"a","few","weeks","ago","was"
"540",2,"a","few","weeks","ago","we"
"541",3,"a","few","weeks","ago","when"
"542",2,"a","few","weeks","i'll","be"
"543",2,"a","few","yards","of","the"
"544",2,"a","few","years","ago","after"
"545",7,"a","few","years","ago","and"
"546",3,"a","few","years","ago","at"
"547",2,"a","few","years","ago","by"
"548",9,"a","few","years","ago","i"
"549",3,"a","few","years","ago","in"
"550",2,"a","few","years","ago","it"
"551",5,"a","few","years","ago","that"
"552",4,"a","few","years","ago","the"
"553",2,"a","few","years","ago","was"
"554",4,"a","few","years","ago","when"
"555",2,"a","few","years","back","when"
"556",3,"a","few","years","later","he"
"557",3,"a","few","years","later","i"
"558",2,"a","field","goal","with","left"
"559",2,"a","fifth","round","pick","in"
"560",2,"a","final","decision","hasn't","been"
"561",2,"a","final","volume","of","the"
"562",2,"a","finalist","for","the","unk"
"563",2,"a","financial","crisis","in","europe"
"564",2,"a","finished","masterpiece","new","theme"
"565",2,"a","firm","believer","in","the"
"566",3,"a","first","come","first","served"
"567",3,"a","first","degree","murder","charge"
"568",2,"a","first","draft","of","my"
"569",3,"a","first","of","its","kind"
"570",2,"a","first","round","draft","pick"
"571",2,"a","first","round","pick","and"
"572",3,"a","first","team","all","american"
"573",2,"a","fish","by","its","ability"
"574",3,"a","fish","out","of","water"
"575",2,"a","five","game","losing","streak"
"576",2,"a","five","year","million","contract"
"577",4,"a","fly","on","the","wall"
"578",3,"a","follow","back","from","me"
"579",2,"a","followback","one","rule","must"
"580",4,"a","follower","of","my","blog"
"581",3,"a","food","processor","or","blender"
"582",2,"a","food","processor","or","hand"
"583",3,"a","foot","in","the","door"
"584",2,"a","football","dream","come","true"
"585",7,"a","force","to","be","reckoned"
"586",2,"a","fork","in","the","road"
"587",2,"a","former","chairman","of","the"
"588",2,"a","former","federal","prosecutor","who"
"589",3,"a","former","u","s","senator"
"590",2,"a","four","year","span","so"
"591",2,"a","four","year","starter","at"
"592",4,"a","fraction","of","the","cost"
"593",2,"a","fraction","of","what","i"
"594",2,"a","free","agent","until","after"
"595",2,"a","free","agent","with","the"
"596",2,"a","free","and","fair","trial"
"597",2,"a","free","ice","cream","cone"
"598",2,"a","free","resume","builder","and"
"599",3,"a","freedom","of","information","act"
"600",3,"a","fresh","perspective","to","the"
"601",2,"a","friend","and","i","just"
"602",2,"a","friend","and","i","went"
"603",2,"a","friend","and","i","will"
"604",2,"a","friend","in","real","life"
"605",3,"a","friend","is","someone","who"
"606",4,"a","friend","of","a","friend"
"607",2,"a","friend","of","mine","said"
"608",2,"a","friend","of","mine","to"
"609",3,"a","friend","of","mine","was"
"610",2,"a","friend","of","mine","who"
"611",2,"a","friend","once","told","me"
"612",2,"a","friend","to","tell","a"
"613",2,"a","friend","who","is","a"
"614",2,"a","front","row","seat","to"
"615",2,"a","full","bar","and","a"
"616",2,"a","full","course","load","this"
"617",3,"a","full","day's","supply","of"
"618",2,"a","full","line","of","unk"
"619",2,"a","full","month","since","going"
"620",2,"a","full","page","ad","in"
"621",2,"a","full","tank","of","gas"
"622",2,"a","full","time","job","and"
"623",2,"a","full","time","job","at"
"624",2,"a","full","time","student","and"
"625",2,"a","fuller","record","of","its"
"626",2,"a","fun","game","to","watch"
"627",2,"a","fun","way","to","learn"
"628",2,"a","funny","thing","happened","on"
"629",2,"a","game","earlier","this","season"
"630",2,"a","game","high","points","for"
"631",2,"a","game","including","interceptions","or"
"632",2,"a","game","where","they","would"
"633",2,"a","gardener","and","an","amazing"
"634",3,"a","generous","pinch","of","salt"
"635",2,"a","genius","but","if","you"
"636",2,"a","genius","i'm","a","fraud"
"637",2,"a","genre","you","enjoy","reading"
"638",2,"a","giant","leap","toward","a"
"639",2,"a","gift","from","a","friend"
"640",2,"a","gift","that","no","one"
"641",2,"a","girl","she","expected","the"
"642",2,"a","girl","to","come","over"
"643",2,"a","glass","of","wine","and"
"644",2,"a","glass","of","wine","before"
"645",2,"a","glass","of","wine","for"
"646",3,"a","glass","of","wine","is"
"647",2,"a","glass","of","wine","with"
"648",2,"a","glimpse","of","what","it's"
"649",5,"a","goal","and","an","assist"
"650",2,"a","goal","in","the","first"
"651",2,"a","good","amount","of","time"
"652",2,"a","good","before","and","after"
"653",2,"a","good","book","to","read"
"654",3,"a","good","chance","of","making"
"655",2,"a","good","couple","of","hours"
"656",2,"a","good","cup","of","coffee"
"657",2,"a","good","day","and","i"
"658",2,"a","good","day","as","well"
"659",3,"a","good","day","at","work"
"660",3,"a","good","day","to","be"
"661",2,"a","good","day","when","you"
"662",2,"a","good","deal","of","it"
"663",2,"a","good","deal","of","time"
"664",3,"a","good","example","of","how"
"665",2,"a","good","first","step","in"
"666",2,"a","good","fit","for","her"
"667",2,"a","good","fit","for","me"
"668",2,"a","good","football","team","but"
"669",7,"a","good","friend","of","mine"
"670",2,"a","good","girl","gone","bad"
"671",3,"a","good","hard","look","at"
"672",2,"a","good","idea","at","the"
"673",2,"a","good","idea","if","you"
"674",2,"a","good","idea","of","what"
"675",2,"a","good","idea","to","go"
"676",2,"a","good","idea","to","have"
"677",2,"a","good","idea","to","make"
"678",4,"a","good","job","with","the"
"679",2,"a","good","long","look","at"
"680",2,"a","good","look","at","what"
"681",2,"a","good","movie","to","watch"
"682",2,"a","good","night's","sleep","and"
"683",2,"a","good","number","of","them"
"684",2,"a","good","one","i","am"
"685",2,"a","good","one","to","watch"
"686",2,"a","good","part","of","the"
"687",2,"a","good","piece","of","work"
"688",2,"a","good","place","for","a"
"689",2,"a","good","place","to","be"
"690",3,"a","good","place","to","find"
"691",10,"a","good","place","to","start"
"692",2,"a","good","portion","of","my"
"693",4,"a","good","portion","of","the"
"694",3,"a","good","problem","to","have"
"695",2,"a","good","sense","of","humor"
"696",2,"a","good","start","to","a"
"697",2,"a","good","thing","and","i"
"698",4,"a","good","thing","because","i"
"699",2,"a","good","thing","but","it"
"700",2,"a","good","thing","but","still"
"701",2,"a","good","thing","he","said"
"702",2,"a","good","thing","that","i"
"703",2,"a","good","thing","when","you"
"704",2,"a","good","thing","you're","not"
"705",2,"a","good","time","and","i"
"706",2,"a","good","time","at","the"
"707",2,"a","good","time","in","the"
"708",2,"a","good","time","to","take"
"709",2,"a","good","time","tonight","with"
"710",3,"a","good","view","of","the"
"711",3,"a","good","way","to","do"
"712",4,"a","good","way","to","end"
"713",3,"a","good","way","to","get"
"714",3,"a","good","way","to","go"
"715",7,"a","good","way","to","start"
"716",2,"a","good","week","so","far"
"717",2,"a","good","wife","and","mother"
"718",2,"a","gorgeous","sunday","enjoy","this"
"719",2,"a","government","informant","posing","as"
"720",2,"a","graduate","of","the","university"
"721",2,"a","great","accomplishment","for","us"
"722",4,"a","great","addition","to","the"
"723",2,"a","great","big","thank","you"
"724",3,"a","great","day","at","the"
"725",2,"a","great","day","everyone","and"
"726",2,"a","great","day","for","a"
"727",6,"a","great","day","to","be"
"728",2,"a","great","day","with","friends"
"729",2,"a","great","deal","about","how"
"730",2,"a","great","deal","of","pain"
"731",3,"a","great","deal","of","the"
"732",3,"a","great","deal","of","time"
"733",2,"a","great","deal","of","work"
"734",2,"a","great","deal","on","a"
"735",2,"a","great","feeling","it","is"
"736",2,"a","great","feeling","to","be"
"737",2,"a","great","friend","of","the"
"738",4,"a","great","group","of","people"
"739",2,"a","great","job","of","that"
"740",2,"a","great","labor","day","weekend"
"741",2,"a","great","meeting","with","my"
"742",3,"a","great","night","at","the"
"743",2,"a","great","part","of","the"
"744",2,"a","great","piece","of","cold"
